id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
2006,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","The Sink","Simple Regulator","The Borsch Conservatory of Gastrotechs"
2007,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Trailmaker","None","None","None","Union of Merchants"
2008,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Kipper","None","None","None","Dark Ether House"
2009,"Death Beam","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Puffy Face","None","None","None","Mercenary"
2010,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Trailmaker","Medium Grey Sanity Amulet","Bobpack","Simple Regulator","Lighthouse Sept"
2011,"The Spunker","Drifter","Leergear","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","The Pillowcase","None","Bobpack","Simple Regulator","Beshtala-Chanko"
2012,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","Dark Grey Decontamination Amulet","Bobpack","Multiband Regulator","Slash Patcher"
2013,"Death Beam","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Pillowcase","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2014,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Headforge","Dark Grey Milo Charm","None","None","The Pyramid Order"
2015,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","The Pillowcase","None","Fancypack","Encased Regulator","Venonauts"
2016,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Rustler's Braincage","None","None","None","Cathedral"
2017,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","The Path"
2018,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Hardhat","None","Fancypack","Heavy Duty Regulator","Roving Terror"
2019,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Backstab Squeezebox","Light Grey Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
2020,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Hangtooth","None","Caddypack","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2021,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Puffy Face","Light Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Lighthouse Sept"
2022,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","None","Utility Vest","Dugall Freight"
2023,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","None","Fancypack","Simple Regulator","The Pyramid Order"
2024,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","Yellow Drippy Charm","Bobpack","None","Lighthouse Sept"
2025,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Puffy Face","Medium Grey Drippy Charm","Little Huffy","Simple Regulator","Free Fringe"
2026,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Pillowcase","None","Bobpack","Utility Vest","The Forsaken"
2027,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Longhaulers"
2028,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","The Stalker","Light Grey Milo Charm","The Sink","Fine Tool Harness","League of Channel"
2029,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","The Pillowcase","None","None","None","Saddler Racing League"
2030,"Chainflicker","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Green","Solid","Prongshell","The Pillowcase","None","None","None","Roving Terror"
2031,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","None","Fancypack","Fine Tool Harness","Orbital Miners Guild"
2032,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Puffy Face","Medium Grey Air Supply Amulet","The Sink","Multiband Regulator","Mark Stay"
2033,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Hangtooth","None","The Sink","None","Dark Ether House"
2034,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","None","The Sink","Heavy Duty Regulator","Dugall Freight"
2035,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Trailmaker","Medium Grey Drippy Charm","Bobpack","Heavy Duty Regulator","Combustible"
2036,"Thruster","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Stalker","None","Fancypack","None","The Path"
2037,"Ball Claw","Drifter","Hypervisor","None","None","Phase 2","The Void","Green","Solid","Kreegal Cloak","BC Shiner","None","None","None","Dark Ether House"
2038,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Hardhat","Yellow Drippy Charm","Bobpack","Encased Regulator","Cross of the Round Power"
2039,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","None","Fancypack","Multiband Regulator","Orbital Miners Guild"
2040,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","BC Shiner","None","None","None","Dugall Freight"
2041,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","Hangtooth","None","None","None","Engineers Guild"
2042,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Trailmaker","None","The Sink","Heavy Duty Regulator","Gael"
2043,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Good King Maude","Light Grey Suit Integrity Amulet","Little Huffy","Heavy Duty Regulator","Dark Ether House"
2044,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Headforge","None","None","None","Machinist Social Club"
2045,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Rustler's Braincage","None","Bobpack","Simple Regulator","League of Channel"
2046,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Boxhead","White Drippy Charm","Caddypack","Simple Regulator","Dugall Freight"
2047,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Boxhead","None","Caddypack","Heavy Duty Regulator","Mercenary"
2048,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Trailmaker","Yellow Drippy Charm","Bobpack","Multiband Regulator","Mercenary"
2049,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Rustler's Braincage","None","None","None","League of Channel"
2050,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Hangtooth","Yellow Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Bench"
2051,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Hangtooth","White Air Supply Amulet","Fancypack","Simple Regulator","Beshtala Expatriation Roster"
2052,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Headforge","None","Little Huffy","Heavy Duty Regulator","Free Fringe"
2053,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Rustler's Braincage","None","None","None","Mesmegraph"
2054,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","Rustler's Braincage","Medium Grey Drippy Charm","None","None","League of Channel"
2055,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Headforge","Light Grey Milo Charm","The Sink","Heavy Duty Regulator","Roving Terror"
2056,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","Dark Grey Air Supply Amulet","Caddypack","Multiband Regulator","Cross of the Round Power"
2057,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","Puffy Face","None","Caddypack","Multiband Regulator","High Tox"
2058,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hardhat","None","None","None","Saddler Racing League"
2059,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","The Stalker","None","None","None","The Man Earlie Expeditionary Society"
2060,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","The Spyhopper","None","None","None","Saddler Racing League"
2061,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Puffy Face","Dark Grey Decontamination Amulet","Bobpack","Multiband Regulator","Grid Gang"
2062,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Hardhat","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","Beshtala Expatriation Roster"
2063,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Hardhat","None","The Sink","Simple Regulator","The Borsch Conservatory of Gastrotechs"
2064,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Hangtooth","None","None","None","Venonauts"
2065,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Good King Maude","Light Grey Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","Saddler Racing League"
2066,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Vayon Worksuit","Hardhat","Medium Grey Drippy Charm","None","Utility Vest","Grid Gang"
2067,"Roulette","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Pillowcase","White Drippy Charm","Little Huffy","Simple Regulator","Deepsatch"
2068,"Prongseat","Drifter","None","None","Yes","Phase 2","The Void","White","Sacred Passage","Smocker","Kipper","Dark Grey Air Supply Amulet","Little Huffy","Encased Regulator","Beshtala Expatriation Roster"
2069,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Vayon Worksuit","Hangtooth","None","None","Utility Vest","Dark Ether House"
2070,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Black","Strapt","Duggie","Hangtooth","None","Little Huffy","Simple Regulator","Saddler Racing League"
2071,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","The Spyhopper","White Drippy Charm","Caddypack","Multiband Regulator","Slash Patcher"
2072,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","None","Little Huffy","Multiband Regulator","The Bench"
2073,"The Spunker","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Green","Solid","Prongshell","BC Shiner","None","None","None","The Pyramid Order"
2074,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Good King Maude","Light Grey Suit Integrity Amulet","Caddypack","Fine Tool Harness","Survivalist Guild"
2075,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Boxhead","None","Fancypack","Simple Regulator","Combustible"
2076,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Spyhopper","None","Fancypack","Multiband Regulator","Beshtala Expatriation Roster"
2077,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","The Spyhopper","None","Bobpack","Heavy Duty Regulator","Grid Gang"
2078,"The Koltso","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Backstab Squeezebox","Red Sanity Amulet","The Sink","Heavy Duty Regulator","Orbital Miners Guild"
2079,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Headforge","None","Fancypack","Encased Regulator","Longhaulers"
2080,"Roulette","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","The Spyhopper","White Drippy Charm","None","None","Cross of the Round Power"
2081,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","Good King Maude","Yellow Air Supply Amulet","Little Huffy","Encased Regulator","The Path"
2082,"The Nozzle","Drifter","Leergear","None","None","Phase 2","The Void","Green","Solid","Prongshell","Kipper","None","None","None","Orbital Miners Guild"
2083,"Chainflicker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Scaper","None","Little Huffy","Heavy Duty Regulator","House of Ourbous"
2084,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Soup Gagers","None","None","None","Wings"
2085,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Spyhopper","None","Little Huffy","Heavy Duty Regulator","Grid Gang"
2086,"Hull Breacher","Drifter","Eye Patch","None","None","Phase 2","The Void","Red","Cowl","Smocker","The Pillowcase","None","Bobpack","Simple Regulator","Dugall Freight"
2087,"Prongseat","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Kipper","Dark Grey Air Supply Amulet","The Sink","Encased Regulator","Mesmegraph"
2088,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","The Spyhopper","None","None","None","The Path"
2089,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","The Scaper","None","None","Utility Vest","Slash Patcher"
2090,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Pillowcase","Light Grey Air Supply Amulet","Caddypack","None","No Damage"
2091,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Spyhopper","None","None","None","The Borsch Conservatory of Gastrotechs"
2092,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Boxhead","Medium Grey Drippy Charm","Little Huffy","Multiband Regulator","Freebooters Flag"
2093,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","The Pillowcase","None","None","None","Roving Terror"
2094,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","The Scaper","None","None","None","Dugall Freight"
2095,"Grand Entrance","Roving Terror","Amplifier","Roving Terror Ceremonial Knife","Yes","Phase 2","The Void","Roving Terror","None","Terrorsuit","Heavy Queen Maude","Crystal Air Supply Amulet","Custom Henchman","None","Roving Terror"
2096,"Everdull Snippies","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","Dark Ether House"
2097,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","Puffy Face","None","Little Huffy","Multiband Regulator","Margul"
2098,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Scaper","Yellow Drippy Charm","Bobpack","Multiband Regulator","High Tox"
2099,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Rustler's Braincage","None","Bobpack","Encased Regulator","Longhaulers"
2100,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Hardhat","Dark Grey Sanity Amulet","Fancypack","None","No Damage"
2101,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Scaper","None","The Sink","Heavy Duty Regulator","Longhaulers"
2102,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Trailmaker","None","None","None","Union of Merchants"
2103,"Hull Breacher","Drifter","Hypervisor","None","None","Phase 2","The Void","Blue","Cowl","Smocker","The Pillowcase","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","Mesmegraph"
2104,"Ball Claw","Drifter","Leergear","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Kipper","Red Sanity Amulet","The Sink","Heavy Duty Regulator","Orbital Miners Guild"
2105,"Bolt Harp","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Pillowcase","White Air Supply Amulet","Little Huffy","Simple Regulator","Union of Merchants"
2106,"Death Beam","Drifter","Driftcore Shades","None","None","Phase 2","The Void","White","Sacred Passage","Smocker","Kipper","None","None","None","Saddler Racing League"
2107,"The Koltso","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","The Pillowcase","None","Little Huffy","Simple Regulator","Roving Terror"
2108,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Rustler's Braincage","None","Bobpack","None","The Pyramid Order"
2109,"Wedge","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Scaper","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","The Path"
2110,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","Fancypack","Heavy Duty Regulator","League of Channel"
2111,"Death Beam","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Puffy Face","None","None","Utility Vest","Margul"
2112,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","The Spyhopper","Light Grey Milo Charm","The Sink","Fine Tool Harness","High Tox"
2113,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Trailmaker","None","None","None","The Transcendentalists"
2114,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","Yellow Drippy Charm","Caddypack","Simple Regulator","Beshtala-Chanko"
2115,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","None","Caddypack","Heavy Duty Regulator","Beshtala Expatriation Roster"
2116,"Hull Breacher","Drifter","Hypervisor","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Kipper","None","None","None","The Man Earlie Expeditionary Society"
2117,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Headforge","White Drippy Charm","Caddypack","Heavy Duty Regulator","Engineers Guild"
2118,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Kreegal Cloak","Good King Maude","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Venonauts"
2119,"The Spunker","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Kipper","Medium Grey Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Path"
2120,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Boxhead","Medium Grey Sanity Amulet","Little Huffy","Heavy Duty Regulator","Subsurface Miners Guild"
2121,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Good King Maude","None","Little Huffy","Simple Regulator","The Bench"
2122,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Gray","Sacred Passage","Smocker","Rustler's Braincage","Dark Grey Sanity Amulet","Little Huffy","Encased Regulator","Longhaulers"
2123,"Round Foot","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Rustler's Braincage","None","None","None","The Man Earlie Expeditionary Society"
2124,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Union of Merchants"
2125,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","Dark Grey Drippy Charm","Caddypack","Utility Vest","Mesmegraph"
2126,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","Slash Patcher"
2127,"Hole Puncher","Drifter","Hypervisor","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","None","The Sink","Multiband Regulator","Topography Society"
2128,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Backstab Squeezebox","Light Grey Suit Integrity Amulet","Bobpack","Encased Regulator","Beshtala Expatriation Roster"
2129,"Prongseat","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","The Pillowcase","Light Grey Decontamination Amulet","None","None","Cross of the Round Power"
2130,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","The Stalker","Light Grey Suit Integrity Amulet","The Sink","Encased Regulator","Deepsatch"
2131,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Good King Maude","None","Fancypack","Multiband Regulator","House of Ourbous"
2132,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","Light Grey Milo Charm","The Sink","Multiband Regulator","League of Channel"
2133,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Rustler's Braincage","White Air Supply Amulet","Little Huffy","Multiband Regulator","Engineers Guild"
2134,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Rustler's Braincage","Light Grey Milo Charm","The Sink","Heavy Duty Regulator","The Pyramid Order"
2135,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","Dark Grey Milo Charm","None","Utility Vest","Dark Ether House"
2136,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","None","Fancypack","None","Dugall Freight"
2137,"Death Beam","Drifter","Driftcore Shades","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Kipper","Yellow Drippy Charm","None","None","The Pyramid Order"
2138,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","None","Little Huffy","Simple Regulator","Mesmegraph"
2139,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","Red Sanity Amulet","The Sink","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2140,"Hull Breacher","Drifter","Eye Patch","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Kipper","White Drippy Charm","Caddypack","Heavy Duty Regulator","Engineers Guild"
2141,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Hardhat","White Drippy Charm","Caddypack","None","Grid Gang"
2142,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","None","Bobpack","None","Dugall Freight"
2143,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Pillowcase","Medium Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","House of Ourbous"
2144,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Puffy Face","Light Grey Milo Charm","The Sink","None","The Borsch Conservatory of Gastrotechs"
2145,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","The Stalker","Yellow Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Dugall Freight"
2146,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Trailmaker","Yellow Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Mercenary"
2147,"Hull Hooker","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Hardhat","None","None","None","Slash Patcher"
2148,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","The Scaper","None","None","None","Survivalist Guild"
2149,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Headforge","Dark Grey Sanity Amulet","Caddypack","Encased Regulator","The Pyramid Order"
2150,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Vayon Worksuit","Kipper","Light Grey Decontamination Amulet","None","Utility Vest","Venonauts"
2151,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Spyhopper","White Air Supply Amulet","Little Huffy","Multiband Regulator","Topography Society"
2152,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Pillowcase","None","Little Huffy","Heavy Duty Regulator","Longhaulers"
2153,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Trailmaker","None","None","Utility Vest","Mercenary"
2154,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Trailmaker","Medium Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","Freebooters Flag"
2155,"Death Beam","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Soup Gagers","Dark Grey Decontamination Amulet","Fancypack","Multiband Regulator","Wings"
2156,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","The Sink","Multiband Regulator","Cathedral"
2157,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Trailmaker","None","None","None","House of Ourbous"
2158,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Stalker","None","Fancypack","None","Survivalist Guild"
2159,"Hole Puncher","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","BC Shiner","None","Caddypack","Multiband Regulator","Longhaulers"
2160,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Hangtooth","Light Grey Milo Charm","Fancypack","Encased Regulator","Venonauts"
2161,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Headforge","None","None","None","The Path"
2162,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","Rustler's Braincage","None","Caddypack","Simple Regulator","League of Channel"
2163,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Spyhopper","None","Fancypack","Simple Regulator","Deepsatch"
2164,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Headforge","None","Little Huffy","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2165,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","None","Caddypack","Encased Regulator","Orbital Miners Guild"
2166,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","The Spyhopper","Light Grey Air Supply Amulet","None","None","Dark Ether House"
