id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
1830,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Thruster","Strapt","Utility Vest","Duggie","Black","Dugall Freight","None","None"
1831,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Solid","Encased Regulator","Vayon Worksuit","Gray","Beshtala Expatriation Roster","Yes","Light Grey Air Supply Amulet"
1832,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Heavy Duty Regulator","Smocker","Green","Union of Merchants","Yes","White Air Supply Amulet"
1833,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Cowl","None","Smocker","Yellow","Dugall Freight","Yes","Yellow Air Supply Amulet"
1834,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Reef Sweeper","Solid","None","Prongshell","Black","Saddler Racing League","None","None"
1835,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Mark Stay","Yes","None"
1836,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Dark Ether House","Yes","None"
1837,"Kipper","The Void","None","Phase 2","Drifter","Eye Patch","None","Everdull Snippies","Solid","None","Prongshell","Red","Venonauts","None","None"
1838,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Freebooters Flag","None","Medium Grey Sanity Amulet"
1839,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","No Damage","Yes","Light Grey Suit Integrity Amulet"
1840,"Hardhat","The Void","Bobpack","Phase 2","Drifter","None","None","Bolt Harp","Cowl","Simple Regulator","Smocker","Blue","High Tox","None","None"
1841,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Deverin Jacket","Gray","Union of Merchants","None","White Air Supply Amulet"
1842,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","None","Smocker","White","No Damage","None","None"
1843,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Cove Carver","Solid","Fine Tool Harness","Deverin Jacket","Green","Union of Merchants","None","Yellow Drippy Charm"
1844,"Backstab Squeezebox","The Void","The Sink","Phase 2","Drifter","None","None","The Koltso","Solid","Multiband Regulator","Deverin Jacket","Yellow","Cove Stalkers","None","None"
1845,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Kreegal Cloak","Green","Engineers Guild","Yes","None"
1846,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Cowl","Simple Regulator","Smocker","Blue","The Man Earlie Expeditionary Society","Yes","None"
1847,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Simple Regulator","Vayon Worksuit","Gray","Engineers Guild","None","White Air Supply Amulet"
1848,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Encased Regulator","Smocker","Red","Engineers Guild","None","Light Grey Milo Charm"
1849,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","Encased Regulator","Smocker","Blue","Mercenary","Yes","None"
1850,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Kreegal Cloak","Gray","Grid Gang","None","Light Grey Suit Integrity Amulet"
1851,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","Utility Vest","Vayon Worksuit","White","Beshtala Expatriation Roster","None","None"
1852,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","Leergear","None","Trunker","Cowl","Encased Regulator","Smocker","White","The Path","None","None"
1853,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Foss","None","Vayon Worksuit","Red","Survivalist Guild","None","None"
1854,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","Utility Vest","Vayon Worksuit","Black","Engineers Guild","None","None"
1855,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Smocker","Black","Beshtala Expatriation Roster","None","None"
1856,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Cap Flag","Simple Regulator","Smocker","Yellow","Longhaulers","Yes","Yellow Air Supply Amulet"
1857,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Gray","Orbital Miners Guild","None","None"
1858,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Cove Carver","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Topography Society","Yes","Light Grey Decontamination Amulet"
1859,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cowl","Simple Regulator","Smocker","Red","Combustible","None","Dark Grey Sanity Amulet"
1860,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","Trunker","Cowl","None","Smocker","Yellow","The Man Earlie Expeditionary Society","None","None"
1861,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Cowl","Heavy Duty Regulator","Smocker","Yellow","Round Power","None","None"
1862,"Kipper","The Void","Bobpack","Phase 2","Drifter","Leergear","None","Roulette","Scripture","Multiband Regulator","Kreegal Cloak","Gray","The Path","None","White Drippy Charm"
1863,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Multiband Regulator","Deverin Jacket","Yellow","Survivalist Guild","Yes","Light Grey Air Supply Amulet"
1864,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Vayon Worksuit","Gray","The Path","None","None"
1865,"BC Shiner","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","None","None"
1866,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Ricochet","Simple Regulator","Vayon Worksuit","Gray","Deepsatch","Yes","Dark Grey Air Supply Amulet"
1867,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","House of Ourbous","None","None"
1868,"The Scaper","The Void","The Sink","Phase 2","Drifter","None","None","Roulette","Cowl","None","Smocker","Yellow","Slash Patcher","None","None"
1869,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Freebooters Flag","Yes","White Air Supply Amulet"
1870,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Deverin Jacket","Yellow","The Borsch Conservatory of Gastrotechs","None","Light Grey Suit Integrity Amulet"
1871,"Backstab Squeezebox","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Foss","Utility Vest","Vayon Worksuit","White","Cathedral","None","None"
1872,"BC Shiner","The Void","Caddypack","Phase 2","Drifter","Eye Patch","None","Steady Hammer","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Beshtala Expatriation Roster","Yes","None"
1873,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Strapt","Simple Regulator","Duggie","Black","Beshtala Expatriation Roster","None","Dark Grey Decontamination Amulet"
1874,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Longhaulers","Yes","None"
1875,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Solid","Multiband Regulator","Deverin Jacket","Yellow","The Man Earlie Expeditionary Society","None","Light Grey Milo Charm"
1876,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Simple Regulator","Deverin Jacket","White","Union of Merchants","None","White Drippy Charm"
1877,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Chainflicker","Solid","Encased Regulator","Kreegal Cloak","Yellow","Longhaulers","Yes","Yellow Air Supply Amulet"
1878,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Venonauts","Yes","None"
1879,"The Pillowcase","The Void","The Sink","Phase 2","Drifter","Hypervisor","None","Hull Breacher","Cap Flag","None","Smocker","Red","Roving Terror","None","None"
1880,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Kreegal Cloak","Gray","Dugall Freight","None","None"
1881,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Solid","Simple Regulator","Vayon Worksuit","Gray","Free Fringe","Yes","None"
1882,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Sacred Passage","Simple Regulator","Smocker","Yellow","Engineers Guild","None","Medium Grey Sanity Amulet"
1883,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","None","Prongshell","Green","Saddler Racing League","None","None"
1884,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","Topography Society","None","Light Grey Suit Integrity Amulet"
1885,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cowl","None","Smocker","White","The Bench","None","None"
1886,"The Scaper","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","None","Smocker","Red","House of Ourbous","None","Medium Grey Air Supply Amulet"
1887,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Multiband Regulator","Smocker","Gray","No Damage","Yes","None"
1888,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Solid","Fine Tool Harness","Deverin Jacket","White","Cathedral","None","None"
1889,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Simple Regulator","Smocker","Green","Deepsatch","None","Medium Grey Drippy Charm"
1890,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Arvis Edition","Encased Regulator","Deverin Jacket","Red","No Damage","None","None"
1891,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Solid","Fine Tool Harness","Deverin Jacket","Yellow","Subsurface Miners Guild","Yes","None"
1892,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Hooker","Cowl","Simple Regulator","Smocker","Blue","The Path","Yes","None"
1893,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Multiband Regulator","Smocker","White","Freebooters Flag","None","Dark Grey Decontamination Amulet"
1894,"Soup Gagers","The Void","Little Huffy","Phase 2","Drifter","None","None","Death Beam","Solid","Utility Vest","Vayon Worksuit","Black","Glass Womb","Yes","Dark Grey Decontamination Amulet"
1895,"The Scaper","The Void","Caddypack","Phase 2","Drifter","None","None","The Koltso","Solid","Multiband Regulator","Deverin Jacket","Gray","League of Channel","Yes","Light Grey Decontamination Amulet"
1896,"The Pillowcase","The Void","None","Phase 2","Drifter","Hypervisor","None","Death Beam","Solid","None","Kreegal Cloak","Black","Engineers Guild","None","None"
1897,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Dugall Freight","None","Light Grey Milo Charm"
1898,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Longhaulers","None","None"
1899,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","Cathedral","None","None"
1900,"Puffy Face","The Void","Caddypack","Phase 2","Drifter","None","None","Chainflicker","Solid","Encased Regulator","Kreegal Cloak","Gray","Machinist Social Club","Yes","None"
1901,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Strapt","Fine Tool Harness","Duggie","Black","Saddler Racing League","Yes","Yellow Air Supply Amulet"
1902,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Strapt","Utility Vest","Duggie","Black","Longhaulers","None","Dark Grey Air Supply Amulet"
1903,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Encased Regulator","Vayon Worksuit","Black","Subsurface Miners Guild","None","Light Grey Suit Integrity Amulet"
1904,"BC Shiner","The Void","The Sink","Phase 2","Drifter","Driftcore Shades","None","Steady Hammer","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Cross of the Round Power","None","Red Sanity Amulet"
1905,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","The Bench","Yes","None"
1906,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Round Foot","Sacred Passage","None","Smocker","White","Engineers Guild","None","None"
1907,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Encased Regulator","Vayon Worksuit","Gray","Roving Terror","None","None"
1908,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Cathedral","None","Medium Grey Drippy Charm"
1909,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","Simple Regulator","Smocker","Yellow","The Path","None","Light Grey Suit Integrity Amulet"
1910,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","High Tox","Yes","Yellow Air Supply Amulet"
1911,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Solid","Encased Regulator","Deverin Jacket","White","Subsurface Miners Guild","Yes","None"
1912,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Cove Carver","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Margul","None","Light Grey Suit Integrity Amulet"
1913,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","None","Smocker","Gray","The Path","None","None"
1914,"BC Shiner","The Void","Bobpack","Phase 2","Drifter","Driftcore Shades","None","Ball Claw","Scripture","Heavy Duty Regulator","Kreegal Cloak","Gray","Subsurface Miners Guild","None","Medium Grey Sanity Amulet"
1915,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Solid","None","Smocker","Gray","Freebooters Flag","None","None"
1916,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Chainflicker","Solid","None","Prongshell","Yellow","Beshtala Expatriation Roster","None","None"
1917,"Kipper","The Void","The Sink","Phase 2","Drifter","Leergear","None","Ball Claw","Solid","Simple Regulator","Smocker","Gray","No Damage","None","Red Sanity Amulet"
1918,"BC Shiner","The Void","None","Phase 2","Drifter","None","None","Roulette","Foss","None","Vayon Worksuit","Red","Engineers Guild","None","None"
1919,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Cap Flag","Simple Regulator","Smocker","Yellow","Margul","Yes","None"
1920,"The Scaper","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Ricochet","Simple Regulator","Vayon Worksuit","Gray","Beshtala Expatriation Roster","None","Light Grey Suit Integrity Amulet"
1921,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","Driftcore Shades","None","The Shriek","Solid","Fine Tool Harness","Deverin Jacket","Green","Beshtala Expatriation Roster","Yes","Light Grey Milo Charm"
1922,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","House of Ourbous","Yes","Yellow Drippy Charm"
1923,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Vayon Worksuit","Black","The Pyramid Order","Yes","None"
1924,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Deverin Jacket","White","Union of Merchants","None","Light Grey Milo Charm"
1925,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Beshtala Expatriation Roster","None","None"
1926,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Chords","Encased Regulator","Smocker","Gray","House of Ourbous","Yes","Light Grey Milo Charm"
1927,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Solid","Fine Tool Harness","Deverin Jacket","White","The Bench","None","Medium Grey Sanity Amulet"
1928,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Solid","Multiband Regulator","Kreegal Cloak","Red","The Path","Yes","Red Air Supply Amulet"
1929,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Round Foot","Cowl","Simple Regulator","Smocker","Red","The Pyramid Order","Yes","Dark Grey Air Supply Amulet"
1930,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Dugall Freight","None","Medium Grey Sanity Amulet"
1931,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Survivalist Guild","Yes","Yellow Drippy Charm"
1932,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","None","Smocker","Red","The Man Earlie Expeditionary Society","Yes","White Air Supply Amulet"
1933,"Kipper","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Sacred Passage","Encased Regulator","Smocker","Red","Cathedral","Yes","None"
1934,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","None","Smocker","Red","Lighthouse Sept","None","Light Grey Suit Integrity Amulet"
1935,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","Wedge","Solid","Encased Regulator","Vayon Worksuit","Gray","Roving Terror","Yes","White Air Supply Amulet"
1936,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Encased Regulator","Vayon Worksuit","Gray","Saddler Racing League","None","Medium Grey Drippy Charm"
1937,"Headforge","The Void","Bobpack","Phase 2","Drifter","None","None","Trunker","Solid","Simple Regulator","Deverin Jacket","Gray","Mesmegraph","None","None"
1938,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Survivalist Guild","Yes","None"
1939,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Hypervisor","None","Hull Breacher","Solid","Encased Regulator","Deverin Jacket","White","House of Ourbous","Yes","None"
1940,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Thruster","Sacred Passage","None","Smocker","Red","Dark Ether House","None","None"
1941,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Ricochet","Simple Regulator","Vayon Worksuit","Gray","The Bench","Yes","None"
1942,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Cross of the Round Power","Yes","White Suit Integrity Amulet"
1943,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Foss","None","Vayon Worksuit","White","Orbital Miners Guild","None","None"
1944,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Roulette","Cap Flag","Multiband Regulator","Smocker","White","The Forsaken","None","Light Grey Milo Charm"
1945,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The Shriek","Cap Flag","None","Smocker","White","Cross of the Round Power","None","Dark Grey Sanity Amulet"
1946,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","Ball Claw","Solid","Encased Regulator","Vayon Worksuit","Gray","Beshtala Expatriation Roster","Yes","Red Air Supply Amulet"
1947,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Wedge","Solid","Heavy Duty Regulator","Deverin Jacket","Green","The Pyramid Order","None","None"
1948,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Solid","Multiband Regulator","Deverin Jacket","Yellow","No Damage","Yes","None"
1949,"Kipper","The Void","Fancypack","Phase 2","Drifter","Leergear","None","Ball Claw","Cowl","Heavy Duty Regulator","Smocker","Yellow","The Pyramid Order","None","White Air Supply Amulet"
1950,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","None","Smocker","Green","Cathedral","None","Light Grey Milo Charm"
1951,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Lighthouse Sept","Yes","None"
1952,"Trailmaker","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Cowl","Encased Regulator","Smocker","Green","Round Power","None","Light Grey Suit Integrity Amulet"
1953,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Seam Ripper","Cowl","None","Smocker","Red","Mark Stay","Yes","None"
1954,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Solid","Encased Regulator","Vayon Worksuit","Gray","Deepsatch","Yes","None"
1955,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","House of Ourbous","Yes","None"
1956,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Red","Gael","None","Light Grey Suit Integrity Amulet"
1957,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Mesmegraph","None","Yellow Drippy Charm"
1958,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Encased Regulator","Smocker","White","Freebooters Flag","None","None"
1959,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Cowl","None","Smocker","Red","Dark Ether House","Yes","Medium Grey Sanity Amulet"
1960,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Union of Merchants","None","Yellow Drippy Charm"
1961,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","House of Ourbous","Yes","None"
1962,"Trailmaker","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Kreegal Cloak","Red","The Transcendentalists","None","Light Grey Suit Integrity Amulet"
1963,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Mark Stay","Yes","Medium Grey Drippy Charm"
1964,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Simple Regulator","Smocker","Yellow","Beshtala-Chanko","Yes","Yellow Drippy Charm"
1965,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Engineers Guild","None","Medium Grey Sanity Amulet"
1966,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Prongshell","Red","The Transcendentalists","None","None"
1967,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Round Foot","Cap Flag","Multiband Regulator","Smocker","White","Engineers Guild","Yes","Dark Grey Air Supply Amulet"
1968,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Topography Society","Yes","None"
1969,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Kreegal Cloak","Gray","The Man Earlie Expeditionary Society","Yes","Light Grey Decontamination Amulet"
1970,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Bench","Yes","Light Grey Decontamination Amulet"
1971,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Simple Regulator","Smocker","Black","Survivalist Guild","None","Dark Grey Drippy Charm"
1972,"The Spyhopper","The Void","Bobpack","Phase 2","Drifter","None","None","Trunker","Solid","Simple Regulator","Deverin Jacket","Red","Cross of the Round Power","None","Medium Grey Sanity Amulet"
1973,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","None","Smocker","Red","Freebooters Flag","Yes","Light Grey Suit Integrity Amulet"
1974,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Cap Flag","Heavy Duty Regulator","Smocker","Red","Dark Ether House","Yes","Medium Grey Sanity Amulet"
1975,"Backstab Squeezebox","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Multiband Regulator","Smocker","Green","The Pyramid Order","None","Medium Grey Sanity Amulet"
1976,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Cap Flag","Heavy Duty Regulator","Smocker","Green","The Borsch Conservatory of Gastrotechs","Yes","White Air Supply Amulet"
1977,"The Scaper","The Void","The Sink","Phase 2","Drifter","None","None","The Koltso","Cowl","None","Smocker","Yellow","Mesmegraph","None","Light Grey Air Supply Amulet"
1978,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Simple Regulator","Smocker","Black","Free Fringe","None","None"
1979,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Vayon Worksuit","Black","Engineers Guild","Yes","None"
1980,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Encased Regulator","Deverin Jacket","Red","Combustible","Yes","Medium Grey Drippy Charm"
1981,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Thruster","Cowl","None","Smocker","Yellow","Mesmegraph","None","Dark Grey Decontamination Amulet"
1982,"BC Shiner","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","No Damage","Yes","Light Grey Suit Integrity Amulet"
1983,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Scripture","Multiband Regulator","Kreegal Cloak","Gray","Dugall Freight","Yes","White Air Supply Amulet"
1984,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","None","Prongshell","Yellow","The Man Earlie Expeditionary Society","None","None"
1985,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","None","Prongshell","Red","Deepsatch","None","None"
1986,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Fine Tool Harness","Vayon Worksuit","Gray","The Pyramid Order","None","Light Grey Milo Charm"
1987,"The Scaper","The Void","Caddypack","Phase 2","Drifter","None","None","Ball Claw","Cap Flag","Simple Regulator","Smocker","Yellow","House of Ourbous","Yes","Yellow Drippy Charm"
