id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
2271,"The Shriek","Fancypack","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","None"
2272,"Cove Carver","Caddypack","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Yellow Drippy Charm"
2273,"The Koltso","Little Huffy","Drifter","None","Slash Patcher","BC Shiner","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","None"
2274,"Steady Hammer","Fancypack","Drifter","None","No Damage","Hardhat","None","The Void","Phase 2","None","Duggie","Simple Regulator","None","Black","Strapt","None"
2275,"Trunker","The Sink","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Medium Grey Sanity Amulet"
2276,"The Koltso","The Sink","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2277,"Prongseat","None","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","Light Grey Decontamination Amulet"
2278,"The Nozzle","Little Huffy","Drifter","None","Machinist Social Club","The Pillowcase","Leergear","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","White Air Supply Amulet"
2279,"The Shriek","Bobpack","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Chords","Dark Grey Sanity Amulet"
2280,"Trunker","Fancypack","Drifter","None","Cove Stalkers","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Medium Grey Sanity Amulet"
2281,"The (Fat) Koltso","Caddypack","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","Medium Grey Drippy Charm"
2282,"Hull Breacher","Caddypack","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","None"
2283,"The Spunker","The Sink","Drifter","None","Combustible","The Pillowcase","Hypervisor","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Milo Charm"
2284,"Hull Breacher","Bobpack","Drifter","None","Dark Ether House","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Medium Grey Sanity Amulet"
2285,"Faulk's Icepick","Caddypack","Drifter","None","Orbital Miners Guild","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Air Supply Amulet"
2286,"Steady Hammer","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","None"
2287,"The (Fat) Koltso","Little Huffy","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Red Air Supply Amulet"
2288,"Bolt Harp","The Sink","Drifter","None","Cathedral","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Light Grey Suit Integrity Amulet"
2289,"Death Beam","None","Drifter","None","Cathedral","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Gray","Sacred Passage","None"
2290,"Trunker","Little Huffy","Drifter","None","Venonauts","Kipper","Leergear","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Yellow Air Supply Amulet"
2291,"Death Beam","None","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Green","Foss","None"
2292,"The Koltso","Bobpack","Drifter","None","Margul","Soup Gagers","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Red","Sacred Passage","Dark Grey Decontamination Amulet"
2293,"The Shriek","Little Huffy","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","Red","Solid","Dark Grey Sanity Amulet"
2294,"Hull Breacher","None","Drifter","None","The Pyramid Order","BC Shiner","Leergear","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
2295,"The Shriek","Bobpack","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Medium Grey Sanity Amulet"
2296,"The Nozzle","Little Huffy","Drifter","None","Beshtala Expatriation Roster","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","None"
2297,"Chainflicker","Little Huffy","Drifter","None","Beshtala Expatriation Roster","Kipper","Leergear","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
2298,"Steady Hammer","The Sink","Drifter","None","Mol Bon Tunnel","Trailmaker","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
2299,"The Nozzle","Little Huffy","Drifter","None","Longhaulers","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
2300,"Chainflicker","Fancypack","Drifter","None","Cathedral","Kipper","Hypervisor","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Black","Chords","Dark Grey Drippy Charm"
2301,"The Shriek","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
2302,"Wedge","None","Drifter","None","Beshtala Expatriation Roster","Kipper","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","None"
2303,"The (Fat) Koltso","Fancypack","Drifter","None","Beshtala Expatriation Roster","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
2304,"The Koltso","Little Huffy","Drifter","None","The Forsaken","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Chords","Light Grey Air Supply Amulet"
2305,"Hole Puncher","Little Huffy","Drifter","None","The Path","The Stalker","None","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
2306,"Prongseat","None","Drifter","None","Engineers Guild","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
2307,"The Nozzle","The Sink","Drifter","None","Cross of the Round Power","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
2308,"Trunker","Little Huffy","Drifter","None","Mercenary","Trailmaker","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Medium Grey Sanity Amulet"
2309,"The (Fat) Koltso","Fancypack","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
2310,"The (Fat) Koltso","Fancypack","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","Medium Grey Drippy Charm"
2311,"Hull Hooker","Bobpack","Drifter","None","The Path","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
2312,"Steady Hammer","The Sink","Drifter","None","Margul","Headforge","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Light Grey Milo Charm"
2313,"Ball Claw","Caddypack","Drifter","None","Lighthouse Sept","Puffy Face","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","White","Solid","Red Milo Charm"
2314,"Cove Carver","Little Huffy","Drifter","None","Orbital Miners Guild","Hardhat","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Green","Sacred Passage","Yellow Air Supply Amulet"
2315,"Roulette","Fancypack","Drifter","None","Longhaulers","BC Shiner","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","White Drippy Charm"
2316,"The Nozzle","Fancypack","Drifter","None","The Pyramid Order","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","Dark Grey Drippy Charm"
2317,"The Shriek","Little Huffy","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","None"
2318,"The Nozzle","The Sink","Drifter","None","Mesmegraph","The Spyhopper","None","The Void","Phase 2","None","Smocker","None","None","Green","Cap Flag","Light Grey Suit Integrity Amulet"
2319,"The (Fat) Koltso","Fancypack","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Medium Grey Drippy Charm"
2320,"Bolt Harp","The Sink","Drifter","None","Cross of the Round Power","Kipper","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Red Sanity Amulet"
2321,"Hull Breacher","The Sink","Drifter","None","Subsurface Miners Guild","BC Shiner","Hypervisor","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
2322,"Hull Breacher","The Sink","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Gray","Solid","None"
2323,"The Nozzle","The Sink","Drifter","None","Dugall Freight","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2324,"Thruster","The Sink","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
2325,"Trunker","Fancypack","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","Medium Grey Sanity Amulet"
2326,"The Nozzle","The Sink","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","White","Solid","None"
2327,"The Nozzle","None","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Smocker","None","None","Blue","Cowl","Light Grey Suit Integrity Amulet"
2328,"Hull Breacher","None","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
2329,"Steady Hammer","None","Drifter","None","Mesmegraph","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
2330,"Roulette","Bobpack","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Yellow Drippy Charm"
2331,"The Shriek","Fancypack","Drifter","None","Survivalist Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Light Grey Milo Charm"
2332,"The (Fat) Koltso","The Sink","Drifter","None","Combustible","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","None"
2333,"Bolt Harp","Caddypack","Drifter","None","The Man Earlie Expeditionary Society","Headforge","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","None"
2334,"Steady Hammer","Little Huffy","Drifter","None","Cross of the Round Power","Kipper","Driftcore Shades","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Yellow Air Supply Amulet"
2335,"Hull Breacher","The Sink","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","None"
2336,"Trunker","Fancypack","Drifter","None","Deepsatch","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Light Grey Suit Integrity Amulet"
2337,"The (Fat) Koltso","Little Huffy","Drifter","None","No Damage","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","None"
2338,"The Nozzle","Little Huffy","Drifter","None","Cathedral","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
2339,"The Shriek","Little Huffy","Drifter","None","Margul","Headforge","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Black","Chords","Dark Grey Air Supply Amulet"
2340,"The Nozzle","None","Drifter","None","Engineers Guild","The Spyhopper","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
2341,"Thruster","Caddypack","Drifter","None","No Damage","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","White Drippy Charm"
2342,"The Koltso","Little Huffy","Drifter","None","Machinist Social Club","Puffy Face","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
2343,"Bolt Harp","Little Huffy","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","Red Air Supply Amulet"
2344,"The Shriek","The Sink","Drifter","None","Gael","Trailmaker","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","None"
2345,"Bolt Harp","Fancypack","Drifter","None","The Path","Headforge","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","None"
2346,"Wedge","Little Huffy","Drifter","None","Deepsatch","The Stalker","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","Medium Grey Air Supply Amulet"
2347,"Prongseat","Bobpack","Drifter","None","Topography Society","Kipper","Leergear","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Sacred Passage","Dark Grey Air Supply Amulet"
2348,"Steady Hammer","The Sink","Drifter","None","Dark Ether House","Kipper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","None"
2349,"Death Beam","The Sink","Drifter","None","Dugall Freight","Kipper","Leergear","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Milo Charm"
2350,"Chainflicker","None","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Kreegal Cloak","None","None","Green","Solid","None"
2351,"Chainflicker","Caddypack","Drifter","None","Saddler Racing League","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","White Drippy Charm"
2352,"The (Fat) Koltso","Caddypack","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Yellow Drippy Charm"
2353,"Chainflicker","Caddypack","Drifter","None","Dugall Freight","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","White Drippy Charm"
2354,"The (Fat) Koltso","Caddypack","Drifter","None","Orbital Miners Guild","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","White","Solid","Medium Grey Drippy Charm"
2355,"Prongseat","None","Drifter","None","Free Fringe","Puffy Face","None","The Void","Phase 2","None","Smocker","None","None","Gray","Solid","None"
2356,"Trunker","The Sink","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Chords","None"
2357,"Thruster","Caddypack","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","White Drippy Charm"
2358,"Faulk's Icepick","Little Huffy","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Yellow Air Supply Amulet"
2359,"Ball Claw","Little Huffy","Drifter","None","Venonauts","Kipper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
2360,"Roulette","Caddypack","Drifter","None","Cross of the Round Power","BC Shiner","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Solid","Light Grey Decontamination Amulet"
2361,"Round Foot","Caddypack","Drifter","None","House of Ourbous","Hangtooth","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Cowl","Dark Grey Drippy Charm"
2362,"The Shriek","Fancypack","Drifter","None","Machinist Social Club","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Milo Charm"
2363,"The (Fat) Koltso","Little Huffy","Drifter","None","The Path","Headforge","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","White Air Supply Amulet"
2364,"Hull Breacher","Fancypack","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","None"
2365,"The (Fat) Koltso","Little Huffy","Drifter","None","The Pyramid Order","Headforge","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","None"
2366,"Hole Puncher","Little Huffy","Drifter","None","Combustible","The Stalker","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Black","Chords","None"
2367,"Faulk's Icepick","Bobpack","Drifter","None","Venonauts","The Scaper","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
2368,"Trunker","The Sink","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","None"
2369,"Steady Hammer","The Sink","Drifter","None","Longhaulers","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
2370,"Trunker","Little Huffy","Drifter","None","The Bench","Good King Maude","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","White Air Supply Amulet"
2371,"Everdull Snippies","None","Drifter","None","High Tox","The Pillowcase","Eye Patch","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
2372,"Trunker","Fancypack","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Light Grey Suit Integrity Amulet"
2373,"The (Fat) Koltso","Little Huffy","Drifter","None","High Tox","Hardhat","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","Medium Grey Drippy Charm"
2374,"The Shriek","The Sink","Drifter","None","The Path","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
2375,"The Shriek","Caddypack","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","None"
2376,"The (Fat) Koltso","Caddypack","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Medium Grey Drippy Charm"
2377,"The Nozzle","Caddypack","Drifter","None","Union of Merchants","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","White Suit Integrity Amulet"
2378,"Bolt Harp","The Sink","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Light Grey Milo Charm"
2379,"The Nozzle","Little Huffy","Drifter","None","Topography Society","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
2380,"Hull Breacher","Fancypack","Drifter","None","Topography Society","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","White Air Supply Amulet"
2381,"Hole Puncher","Bobpack","Drifter","None","Beshtala-Chanko","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","Medium Grey Air Supply Amulet"
2382,"Faulk's Icepick","The Sink","Drifter","None","House of Ourbous","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Air Supply Amulet"
2383,"Hull Breacher","The Sink","Drifter","None","No Damage","The Spyhopper","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","None"
2384,"Trunker","None","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2385,"Steady Hammer","Fancypack","Drifter","None","Longhaulers","Backstab Squeezebox","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2386,"Hull Breacher","None","Drifter","None","Beshtala-Chanko","Headforge","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2387,"The Nozzle","Bobpack","Drifter","None","Cathedral","The Pillowcase","Eye Patch","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","None"
2388,"The Shriek","Bobpack","Drifter","None","The Man Earlie Expeditionary Society","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","White","Solid","Light Grey Milo Charm"
2389,"Hole Puncher","The Sink","Drifter","None","The Pyramid Order","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Blue","Cowl","Medium Grey Air Supply Amulet"
2390,"The (Fat) Koltso","The Sink","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
2391,"Death Beam","Little Huffy","Drifter","None","Cathedral","Kipper","Hypervisor","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","None"
2392,"Faulk's Icepick","Caddypack","Drifter","None","Freebooters Flag","The Stalker","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","Light Grey Air Supply Amulet"
2393,"Death Beam","Bobpack","Drifter","None","Venonauts","The Spyhopper","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Green","Cowl","None"
2394,"Hull Breacher","None","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2395,"Bolt Harp","None","Drifter","None","Mark Stay","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Blue","Sacred Passage","None"
2396,"Faulk's Icepick","Fancypack","Drifter","None","The Pyramid Order","The Spyhopper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
2397,"Death Beam","Bobpack","Drifter","None","Cove Stalkers","The Scaper","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","None"
2398,"Hole Puncher","Fancypack","Drifter","None","No Damage","The Scaper","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2399,"The Shriek","Fancypack","Drifter","None","House of Ourbous","Trailmaker","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Milo Charm"
2400,"Trunker","The Sink","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Light Grey Milo Charm"
2401,"The Nozzle","Bobpack","Drifter","None","House of Ourbous","Trailmaker","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","Light Grey Suit Integrity Amulet"
2402,"The Shriek","Bobpack","Drifter","None","Machinist Social Club","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","Medium Grey Sanity Amulet"
2403,"The (Fat) Koltso","Caddypack","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
2404,"Thruster","Little Huffy","Drifter","None","Machinist Social Club","Headforge","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Blue","Cowl","White Air Supply Amulet"
2405,"Hull Breacher","None","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
2406,"The Nozzle","The Sink","Drifter","None","Cathedral","Backstab Squeezebox","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Gray","Solid","None"
2407,"Bolt Harp","None","Drifter","None","Topography Society","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2408,"The (Fat) Koltso","The Sink","Drifter","None","Beshtala-Chanko","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","Medium Grey Drippy Charm"
2409,"Ball Claw","Caddypack","Drifter","None","Roving Terror","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Light Grey Decontamination Amulet"
2410,"The (Fat) Koltso","Fancypack","Drifter","None","Combustible","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2411,"Trunker","Caddypack","Drifter","None","House of Ourbous","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","None"
2412,"Thruster","Caddypack","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
2413,"The Shriek","The Sink","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Milo Charm"
2414,"Bolt Harp","None","Drifter","None","Grid Gang","Backstab Squeezebox","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Green","Foss","None"
2415,"Hull Breacher","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
2416,"Hull Breacher","Caddypack","Drifter","None","Margul","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","White Drippy Charm"
2417,"Bolt Harp","Fancypack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","Dark Grey Drippy Charm"
2418,"Hole Puncher","Bobpack","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Medium Grey Air Supply Amulet"
2419,"The Nozzle","None","Drifter","None","Dark Ether House","The Spyhopper","None","The Void","Phase 2","None","Smocker","None","None","Gray","Solid","None"
2420,"The (Fat) Koltso","Little Huffy","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","White Air Supply Amulet"
2421,"The (Fat) Koltso","Little Huffy","Drifter","None","Cathedral","The Stalker","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Black","Solid","Dark Grey Milo Charm"
2422,"The Shriek","None","Drifter","None","Saddler Racing League","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Yellow","Foss","Light Grey Milo Charm"
2423,"Hull Breacher","None","Drifter","None","No Damage","Hangtooth","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
2424,"Trunker","Fancypack","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Chords","White Air Supply Amulet"
